TAZ_NUM,DESCRIPT,P4_ESCO,P5_SHOP,P6_MAIN,P7_EATI,P8_VISI,P9_DISC,P10_ATWO,P11_ALLNM,P12_WHOM1,P13_WHOM2,P14_WHOM3,P15_WHOM4,P16_WHOM5,P17_WHOM6,P18_WHOM7,P19_WHOM8,P20_SHOM1,P21_SHOM2,P22_SHOM3,P23_WHOM,P24_WHOM,P25_WHOM,P26_WHOM,P27_WHOM,P28_WHOM,P29_WHOM,P30_WHOM,P31_WHOM,P32_WHOM,P33_WHOM,P34_WHOM,P35_WHOM,P36_WHOM,P37_WHOM,P38_WHOM,P39_WHOM,P40_WHOM,P41_WHOM,P42_WHOM,P43_WHOM,P44_WHOM,P45_WHOM,P46_WHOM,P47_WHOM,P48_WHOM,P49_WHOM,P50_WHOM,P51_WHOM,P52_WHOM,P53_WHOM,P54_WHOM,P55_SCHU1,P56_SCHU2,P57_SCHU3,P58_SCHS1,P59_SCHS2,P60_SCHS3,P61_SCHA1,P62_SCHA2,P63_SCHA3,P64_SCHT1,P65_SCHT2,P66_SCHT3,P67_UNIV,ACCESS1,ACCESS2,ACCESS3,ACCESS4,ACCESS5,ACCESS6,ACCESS7,ACCESS8,ACCESS9,ACCESS10,ACCESS11,ACCESS12,ACCESS13,ACCESS14,ACCESS15,ACCESS16,ACCESS17,ACCESS18,ACCESS19,ACCESS20,ACCESS21,ACCESS22,ACCESS23,ACCESS24,ACCESS25,ACCESS26,ACCESS27,ACCESS28,ACCESS29,ACCESS30,ACCESS31,ACCESS32,ACCESS33,ACCESS34,ACCESS35,ACCESS36,ACCESS37,ACCESS38,ACCESS39,ACCESS40,ACCESS41,ACCESS42,ACCESS43,ACCESS44,ACCESS45,ACCESS46,ACCESS47,ACCESS48,ACCESS49,ACCESS50,ACCESS51,ACCESS52,ACCESS53,ACCESS54,ACCESS55,ACCESS56,ACCESS57,ACCESS58,ACCESS59,ACCESS60,ACCESS61,ACCESS62,ACCESS63,ACCESS64,ACCESS65,ACCESS66,ACCESS67,ACCESS68,ACCESS69,ACCESS70,ACCESS71,ACCESS72,ACCESS73,ACCESS74,ACCESS75,ACCESS76,ACCESS77,ACCESS78,ACCESS79,ACCESS80,ACCESS81,ACCESS82,ACCESS83,ACCESS84,ACCESS85,ACCESS86,ACCESS87,ACCESS88,ACCESS89,ACCESS90,ACCESS91,ACCESS92,ACCESS93,ACCESS94,ACCESS95,ACCESS96,ACCESS97,ACCESS98,ACCESS99,ACCESS100,ACCESS101,ACCESS102,ACCESS103,ACCESS104,ACCESS105,ACCESS106,ACCESS107,ACCESS108,ACCESS109,ACCESS110,ACCESS111,ACCESS112,ACCESS113,ACCESS114,ACCESS115,ACCESS116,ACCESS117,ACCESS118,ACCESS119,ACCESS120,ACCESS121,ACCESS122,ACCESS123,ACCESS124,ACCESS125,ACCESS126,ACCESS127,ACCESS128,ACCESS129,ACCESS130,ACCESS131,ACCESS132,ACCESS133,ACCESS134,ACCESS135,ACCESS136,ACCESS137,ACCESS138,ACCESS139,ACCESS140,ACCESS141,ACCESS142,ACCESS143,ACCESS144,ACCESS145,ACCESS146,ACCESS147,X.,X,X.1,X.2,X.3,X.4,X.5,X.6
1,NA,800,1322.09351,683.742359,394.238138,231.124305,945.149004,192.746867,4275.01964,60.448545,73.233701,212.311857,72.871922,79.597593,0,7.422575,119.939136,0,0,91,158.839935,102.082029,237.086432,95.426603,29.254691,0,0,36.52751,4.271277,2.097266,8.167527,4.376818,14.435691,0,18.936156,29.462151,7.131664,3.946649,5.170862,0.413424,0,0,0.137006,11.500693,27.535984,15.41775,21.063194,10.903048,1.741194,0,1.707498,1.438391,0,0,0,0,0,91,0,0,0,0,0,91,658,2361.332671,2057.051317,8063.365624,3059.523847,1285.358479,53.496104,496.332399,2676.067459,17898.874564,40374.766286,29482.292445,23523.455176,69542.561495,24015.533698,90120.550532,109680.62482,257612.076318,92024.219757,99865.590927,94471.029159,22320.35718,24092.204276,22870.420911,14994.177398,16489.879467,15468.151983,8596.184383,9339.525467,8828.385485,4364.832026,4687.816487,4464.775398,20753.701367,22438.856178000002,21277.57212,35225.64644,81772.27519,52568.291274,21896.383517,26353.877177,60951.752878,14608.63722,18254.048948,44489.666884,8415.125212,10266.693767,24201.18249,4286.473748,5097.789204,11558.732283,20349.412936,24572.021678,57018.527615,5578.089891,16234.080361,327.295532,298.990383,1140.799744,365.147346,257.778904,1.294166,44.799045,452.188108,1871.930306,1531.895474,6331.139649,2407.806603,950.740918,31.144877,378.20441,2047.703098,546.412559,1352.895584,1769.037638,21340.859671,7693.952381,17182.023057,16696.605457,23948.06715,185.723337,59.345329,130.418544,19.712016,587.514228,202.967185,222.63143,88.4847,75.301193,140.702754,4.341001,0,17.261553,349.201029,118.936547,605.266295,536.249821,8.755508,403.950584,393.003098,5.979707,234.856747,1856.626636,7.453196,620.957063,632.814662,5.133529,187.546474,160.750263,0.374316,43.242295,0.608036,0,0,13.234393,0.680918,17.234409,337.062546,6.611404,86.795561,2011.257162,8.755508,115.125602,1404.017131,5.979707,76.225524,5069.937928,7.453196,277.069051,2002.530662,5.133529,61.650634,616.430725,0.374316,10.695568,14.84066,0,0,127.068812,0.680918,3.581582,914.620659,6.611404,35.106199,5525.290947,16157.913644,6628.256086,2228.513808,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,231,206.044469,131.239473,62.279235,28.80964,131.318881,29.58203,660.879151,9.79408,16.590643,48.548016,16.565725,11.105106,0,1.744658,17.340258,0,0,69,25.884849,14.076307,37.031195,13.746423,6.654897,0,0,8.290359,0.967238,0.258805,1.894577,0.982005,3.238863,0,3.0884490000000002,6.744309,1.600096,0.88549,1.16016,0.097174,0,0,0.030739,1.918066,3.888817,2.074253,3.415854,1.548673,0.409263,0,0.235373,0.33809,0,0,0,0,0,69,0,0,0,0,0,69,0,2129.169315,1866.85222,7265.824593,2764.940619,1175.096571,50.257457,455.334896,2432.038047,17106.152631,38474.139004,27408.780586,23299.420397,60711.138893,23363.071235,81578.522832,102037.661401,251955.17627,83570.244604,91800.407298,86144.298677,20244.437232,22105.999958,20823.795034,13500.767302,15069.10396,13998.763587,7803.714414,8583.886241,8047.974573,3963.34649,4303.249728,4068.858972,18883.495265,20651.996684,19434.607699,34250.579476,80458.317954,51485.608844,19800.290081,24466.05347,59496.696217,13098.06562,16912.212943,43526.945427,7614.303758,9551.074382,23675.595093,3881.070596,4731.059066,11264.099945,18460.402227,22875.188214,55733.72053,5014.577598,15871.769069,319.494613,288.455448,1108.244702,352.719136,251.338557,1.243942,43.865548,440.923654,1619.137623,1329.03015,5469.204289,2092.625643,832.148354,27.621394,334.322253,1784.02581,529.072843,1290.576273,1683.888104,17993.175911,6649.596774,14940.57259,14525.323389,21076.943966,173.787874,53.665288,121.669742,18.015963,547.609044,184.355274,208.062485,79.120065,70.966869,126.691027,4.132211,0,16.373055,317.984155,111.592457,548.746872,470.102581,8.301848,369.176563,343.8535,5.641368,214.15815,1628.129054,7.036776,561.762676,553.451173,4.809128,170.895445,140.867141,0.354724,39.561398,0.5166,0,0,11.244211,0.646255,15.855659,295.234472,6.251586,78.535241,1838.345858,8.301848,100.786772,1283.889088,5.641368,66.661882,4608.759842,7.036776,242.948148,1823.397974,4.809128,53.972573,561.200479,0.354724,9.484686,14.008772,0,0,116.322278,0.646255,3.137462,827.383214,6.251586,30.799587,5464.209807,14021.812072,6408.039782,2167.375302,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,249,625.282335,311.871701,222.703951,118.193141,561.884181,114.490503,2412.21874,43.262613,39.069588,143.202955,42.670549,47.560802,0,8.158205,74.851917,0,0,0,92.627827,60.125444,162.423044,59.291949,17.431464,0,0,20.50324,2.252517,1.075701,7.302183,1.70069,5.609242,0,13.659313,20.363247,2.771134,1.53354,2.009229,0.454398,0,0,0.053236,5.284415,16.70057,8.809302,15.091186,6.659279,1.913759,0,1.005296,1.580946,0,0,0,0,0,0,0,0,0,0,0,0,0,2053.11457,1852.242937,7252.255929,2724.184687,1093.64161,47.457863,462.303448,2298.021846,14193.580833,35158.933317,26685.566674,22754.287277,60058.248606,19339.633727,77211.37475,97044.064441,245049.356656,79017.488475,86896.352864,81427.889398,18044.452436,19878.812624,18605.295342,13046.875071,14546.658612,13514.288195,7431.747497,8175.606907,7659.482136,3355.160972,3708.501288,3463.602263,17566.499519,19278.402602,18088.551982,30839.755252,74888.571625,47267.890755,17629.171255,22255.799269,56505.346435,12677.35717,16370.0219,42669.267584,7260.674392,9131.560653,23076.94495,3273.039646,4157.413732,10623.354425,17178.687815,21502.292732,54017.303136,4799.980407,15621.731516,329.218902,297.975207,1261.788984,380.685789,209.206389,1.24969,65.347249,396.442169,1568.19662,1351.750269,5457.29576,2078.91574,805.079555,27.628231,332.286808,1725.709222,310.032907,1079.627658,1214.977878,13373.695708,6356.202568,15311.45862,15282.705437,17181.3399,216.49782,53.583107,145.229549,14.759001,657.281608,192.852629,242.071045,73.867489,84.460285,120.623314,3.785511,0,15.784981,308.819113,136.231977,559.715875,480.687038,11.291199,328.606747,343.798708,7.612248,186.64799,1609.545372,9.542878,516.770644,543.628635,5.424576,152.664086,143.498071,0.346318,41.439378,0.481356,0,0,10.47707,0.681343,13.754184,290.301264,8.621165,75.856243,1667.257447,11.291199,100.935968,1128.691885,7.612248,65.428203,4240.148086,9.542878,236.420453,1648.839734,5.424576,53.265945,543.910257,0.346318,10.44998,12.627939,0,0,109.992316,0.681343,3.291138,785.138319,8.621165,30.238274,5237.381385,13886.521627,4249.257383,1824.593661,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,177,165.103894,135.308549,41.61825,14.151505,62.359089,21.692419,427.502998,11.070159,19.837109,61.892268,21.882858,5.269292,0.076581,0.763659,11.338139,0,0,0,19.607879,9.051854,33.600723,11.680962,7.063621,0,0,11.202614,0.985866,0.125859,1.215045,1.373838,3.780258,0,1.425035,5.720413,2.0114,1.200428,1.551168,0.167276,0,0,0.035878,1.687558,2.546322,1.615454,4.579909,1.231118,0.17914,0,0.111941,0.501765,0,0,0,0,0,0,0,0,0,0,0,0,33,2077.020482,1887.339125,7207.921879,2803.183723,1156.048314,50.804483,473.689366,2391.687352,15449.132493,35210.460597,27996.401353,24221.514444,66684.038387,17709.498247,81599.054605,102244.386526,259376.424318,83505.289436,91718.7735,86023.635486,20025.597354,21870.582709,20586.709509,13830.146929,15374.801784,14313.164437,7820.858193,8598.366473,8059.568755,3799.004178,4145.558372,3904.282602,18671.500186,20451.394095,19214.999978,32557.9371,77756.569512,49438.406055,19607.29317,24295.015481,61002.6587,13444.264191,17232.872001,44836.660557,7639.672683,9590.933899,24381.138179,3719.137245,4596.655673,11518.039676,18263.782491,22757.826437,57351.043092,5006.278465,16338.757582,257.969781,231.811472,916.798211,287.314365,190.357863,1.024002,38.376542,341.385411,1649.285771,1439.908546,5708.212731,2238.191071,885.833062,29.014912,364.262679,1867.42687,366.521976,955.467122,1597.218705,11885.002655,6818.46786,16226.197299,15943.090714,21254.775677,200.804396,53.659987,138.187927,16.61122,611.288455,183.708039,229.533001,78.368842,78.422923,127.099248,4.139259,0,16.34571,311.442147,124.494228,552.587065,522.033281,9.916696,343.359873,374.74909,6.690698,197.877634,1768.268148,8.37329,516.013227,596.949915,5.131389,158.903872,156.754884,0.35383,37.603859,0.529155,0,0,11.517399,0.671034,14.443765,320.14713,7.859083,75.011797,1712.137937,9.916696,110.075756,1190.117999,6.690698,71.753916,4275.205354,8.37329,261.171737,1735.19432,5.131389,58.409261,555.259971,0.35383,11.228319,14.454053,0,0,128.541358,0.671034,3.52652,799.30502,7.859083,33.36905,5666.744685,15694.5762,4668.457585,1648.733887,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,401,659.110939,245.587339,206.045933,152.00459,585.000269,122.111207,2298.25254,57.820674,26.002936,124.931586,37.974735,49.149239,0.280659,2.761761,84.100193,178.8,282.2,347,88.660964,72.099259,196.295259,76.859433,9.2736,0,0,18.900892,0.860212,1.381815,2.538964,1.534553,2.309134,0,10.545445,7.374206,1.667931,1.243053,1.549399,0.610986,0,0,0.021915,5.112292,19.466732,12.005129,22.783066,8.489545,0.647856,0,1.06165,1.831737,0,0,0,178.8,282.2,347,0,0,0,178.8,282.2,347,0,2129.169315,1866.85222,7265.824593,2764.940619,1175.096571,50.257457,455.334896,2432.038047,17106.152631,38474.139004,27408.780586,23299.420397,60711.138893,23363.071235,81578.522832,102037.661401,251955.17627,83570.244604,91800.407298,86144.298677,20244.437232,22105.999958,20823.795034,13500.767302,15069.10396,13998.763587,7803.714414,8583.886241,8047.974573,3963.34649,4303.249728,4068.858972,18883.495265,20651.996684,19434.607699,34250.579476,80458.317954,51485.608844,19800.290081,24466.05347,59496.696217,13098.06562,16912.212943,43526.945427,7614.303758,9551.074382,23675.595093,3881.070596,4731.059066,11264.099945,18460.402227,22875.188214,55733.72053,5014.577598,15871.769069,319.494613,288.455448,1108.244702,352.719136,251.338557,1.243942,43.865548,440.923654,1619.137623,1329.03015,5469.204289,2092.625643,832.148354,27.621394,334.322253,1784.02581,529.072843,1290.576273,1683.888104,17993.175911,6649.596774,14940.57259,14525.323389,21076.943966,173.787874,53.665288,121.669742,18.015963,547.609044,184.355274,208.062485,79.120065,70.966869,126.691027,4.132211,0,16.373055,317.984155,111.592457,548.746872,470.102581,8.301848,369.176563,343.8535,5.641368,214.15815,1628.129054,7.036776,561.762676,553.451173,4.809128,170.895445,140.867141,0.354724,39.561398,0.5166,0,0,11.244211,0.646255,15.855659,295.234472,6.251586,78.535241,1838.345858,8.301848,100.786772,1283.889088,5.641368,66.661882,4608.759842,7.036776,242.948148,1823.397974,4.809128,53.972573,561.200479,0.354724,9.484686,14.008772,0,0,116.322278,0.646255,3.137462,827.383214,6.251586,30.799587,5464.209807,14021.812072,6408.039782,2167.375302,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,417,297.920251,164.467817,93.370035,50.115201,218.508037,45.878291,1005.31427,15.472298,19.462772,60.05279,19.826451,18.45126,0,2.481476,28.453895,0,0,0,38.325513,23.485474,59.200904,22.585067,7.995907,0,0,9.830794,1.131973,0.449896,2.527539,1.086316,3.582906,0,4.868697,8.3929569999999991,1.770063,0.97955,1.283396,0.138214,0,0,0.034005,2.633503,6.433585,3.491571,5.394648,2.556939,0.582107,0,0.392752,0.480875,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.023197,1797.751829,6958.878143,2680.616165,1093.062497,51.000797,453.469134,2288.7535,18503.65692,41626.849757,27407.611907,25774.060411,52134.148855,23683.054659,73122.051259,98402.670399,272228.151751,75623.17203,85808.311247,78828.53098,17862.749652,20196.544745,18591.821878,12377.165588,14246.675491,12972.770833,7078.523252,8040.199817,7381.469682,3480.77504,3919.002135,3617.398571,17024.093054,19245.989531,17721.535797,39965.508217,88234.475613,57926.003747,17302.669265,23146.600357,64054.673412,11889.506992,16446.84207,46924.520686,6841.470431,9225.642755,25574.148022,3375.175946,4468.70142,12201.751172,16484.769139,22016.78482,60347.056436,4580.606582,17195.662462,356.383181,301.957617,1214.331161,383.903016,258.421214,1.594422,48.578031,467.084947,1470.968154,1235.455946,5057.739754,1965.301701,726.973758,26.243523,321.549955,1592.438208,708.256449,1759.622529,2218.040544,24714.143593,6219.346475,13847.315835,13351.07828,19857.998689,167.446187,50.34696,117.012556,15.727907,524.143991,177.514952,201.319954,74.649337,69.523049,115.807214,4.099374,0,16.522185,299.344326,108.541942,526.138355,461.131684,8.241311,338.983762,337.518676,5.537751,196.137729,1580.402252,6.917098,531.80129,539.310385,4.684566,158.324592,136.940957,0.3595,38.321627,0.514449,0,0,11.19738,0.654302,14.051765,285.528394,6.17882,76.673849,1680.258461,8.241311,98.765239,1171.248123,5.537751,65.142461,4326.715172,6.917098,234.804763,1717.072362,4.684566,52.630478,541.751934,0.3595,9.207213,14.514509,0,0,119.439666,0.654302,3.12703,794.775612,6.17882,29.716385,6045.482751,11607.200626,6321.503621,2196.701421,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,739,769.26483,342.758348,218.506822,150.770743,560.36146,108.713348,2404.94748,32.497454,29.891321,81.322411,29.507152,47.022697,0.0212,1.766036,69.489524,0,0,0,86.03396,61.570269,129.993498,56.213682,11.303345,0,0,15.049077,1.701737,1.36379,2.413392,1.977334,6.31379,0,9.537358,10.383498,3.159021,1.772369,2.316155,0.132897,0,0,0.059923,6.426629,16.288274,9.564445,11.511831,6.477438,0.414278,0,1.019236,0.440169,0,0,0,0,0,0,0,0,0,0,0,0,0,2204.495368,1955.556062,7613.494741,2876.716963,1194.200161,51.584601,467.050722,2489.94619,18472.594611,42141.333519,28173.422237,25008.132285,64118.484548,23164.223506,82965.472566,104476.9795,267847.246803,84917.015607,93448.352817,87521.936421,20520.082071,22465.826491,21112.213157,14163.299629,15746.082091,14655.149331,7953.55253,8759.087278,8199.727774,3886.663921,4260.607,4000.71289,18941.619408,20804.99452,19508.75052,37661.531369,85122.349574,55313.947594,20080.024834,25022.587471,63283.403048,13773.614988,17671.590045,46303.174293,7768.66491,9797.139504,25164.035363,3800.317055,4745.293706,12008.66321,18520.76238,23238.377962,59293.071098,5140.246856,16906.884264,340.18336,299.903076,1176.452706,376.395984,250.018547,1.532029,45.257331,449.824997,1723.879222,1450.978816,5949.248842,2239.740153,874.73989,28.256583,349.807611,1882.01417,689.972647,1814.687485,2250.358554,26590.678974,6842.881924,14620.977896,14504.729445,18225.6004,220.464449,55.544211,148.520671,17.888052,666.881454,189.607162,251.16562,81.399159,89.036779,131.931345,4.307901,0,18.468436,322.036651,140.782031,563.787463,484.959896,11.656255,369.484757,355.900961,7.743533,214.351795,1672.204109,9.715877,570.986591,568.583361,5.738124,171.58616,143.260856,0.407843,40.399981,0.527204,0,0,11.475029,0.780761,15.764437,299.192222,8.815435,79.937547,1855.657867,11.656255,104.263343,1282.711785,7.743533,68.593546,4658.014941,9.715877,248.232943,1829.062605,5.738124,55.536281,574.011926,0.407843,9.963522,14.2699,0,0,114.84366,0.780761,3.305174,848.352557,8.815435,31.487681,5871.546236,14856.611022,6334.021807,2150.1215,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,295,717.765299,326.158951,236.033315,143.937513,614.986924,124.365331,2582.66279,47.641831,36.467812,134.428655,41.375802,51.86894,0.069924,6.022098,82.061542,0,0,38,97.635965,68.39645,176.06677,67.653088,15.287344,0,0,20.22243,1.94911,1.31017,5.586617,1.827978,5.343395,0,13.085975,16.440872,2.771131,1.61327,2.093949,0.449317,0,0,0.050713,5.926774,18.666343,10.488521,17.264559,7.606284,1.412669,0,1.107911,1.490021,0,0,38,0,0,0,0,0,0,0,0,38,18,2563.504497,2321.261275,8912.06998,3508.191533,1398.973722,58.515022,583.056741,2926.448878,21360.541583,53113.942966,32427.384997,25247.479827,79958.239306,22697.414172,97695.955128,116557.812277,275251.487249,99302.237405,106645.780173,101491.07754,23862.865318,25548.875473,24364.331922,16892.52643,18273.351414,17312.696831,9310.604747,10004.131392,9517.502622,4492.405282,4819.630815,4590.371254,22080.556042,23680.051235,22555.612673,40347.02484,87612.071998,57885.420699,23499.390953,27853.646025,64979.231043,16567.23268,20008.606843,47751.928149,9158.38865,10937.137599,25864.114433,4419.138113,5258.53495,12317.999327,21734.896502,25864.729819,60898.021594,6111.900607,17423.706583,398.678059,349.442559,1441.390156,457.187574,244.150948,2.114233,58.160393,471.559052,2086.355076,1826.498603,7205.746088,2879.976094,1107.724816,36.962744,466.514291,2354.535384,1012.95438,3059.045169,3458.382579,41661.863417,8483.097667,20199.631191,18480.801047,26344.615025,283.014683,63.680229,188.724319,19.484607,827.643309,217.675278,308.530017,96.92889,109.233615,151.059146,5.069112,0,20.799201,371.406547,172.34842,662.351553,632.7399,14.833677,414.11535,465.214462,9.810315,238.611582,2233.461037,12.334858,625.552821,757.250903,6.797811,192.377933,190.976012,0.454559,45.592338,0.669386,0,0,14.569679,0.900515,17.045523,408.858014,11.901132,92.890665,2048.744758,14.833677,136.364616,1431.898075,9.810315,91.34568,5179.31266,12.334858,337.113702,2131.714355,6.797811,73.829875,685.426767,0.454559,12.246318,17.42882,0,0,169.504701,0.900515,4.10424,984.01903,11.901132,42.475138,5923.20029,18965.181672,5827.195363,2123.943455,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,409,183.588761,156.717085,108.539363,22.174945,242.872883,58.241729,1127.45971,30.277008,32.917332,138.677497,38.551931,21.071167,0.004434,9.571934,38.166949,0,0,115,50.405965,25.220796,104.487764,30.046192,15.880827,0.004623,0.100623,17.97855,1.873369,0.194591,7.950204,1.039529,3.409268,0,9.719246,19.999649,1.689441,0.932078,1.221199,0.539276,0.002634,0,0.036407,1.775549,7.77713,3.266198,10.613233,3.177109,2.215594,0,0.419053,1.844049,0,0,115,0,0,0,0,0,0,0,0,115,0,2773.420936,2468.939703,9565.52344,3791.835771,1521.971272,59.452768,636.35492,3180.28238,21355.590354,60004.311369,33026.717552,19587.561791,94816.930528,21139.957068,111075.595416,123015.482417,231188.716625,112186.227812,116921.900978,113628.010859,26818.93024,27915.578685,27153.187224,18684.288218,19636.755333,18981.014199,10501.661904,10950.641434,10638.512866,5156.925512,5362.677374,5219.412871,25164.223688,26174.519241,25470.004767,38802.196789,77238.007938,53072.127109,26563.858454,29332.952661,54357.408018,18444.013496,20766.251806,40198.92998,10395.978825,11526.146178,21720.712924,5107.923453,5627.524015,10399.786009,24930.89531,27496.739335,51238.906468,6938.621603,14754.607546,446.005757,372.384882,1644.617724,508.449745,230.72799,2.521819,73.042832,478.710049,2281.73116,1996.842366,7748.947389,3169.030269,1275.8625,42.56984,524.111865,2656.235122,1273.537321,4499.058922,4426.280529,59262.55447,9366.281134,21586.474426,19879.527769,24704.96172,240.867204,69.3692,169.019444,21.422052,767.917446,239.737727,284.051115,105.976894,93.589527,162.804163,5.022201,0,19.473927,410.978367,151.374722,729.496861,707.889724,10.96041,458.458331,510.8969,7.65554,264.982084,2461.700322,9.523887,691.588917,825.738698,6.419914,213.382304,214.155813,0.419561,49.350211,0.642127,0,0,13.976424,0.775169,18.688346,451.011641,8.3937,103.275807,2242.794351,10.96041,150.116806,1585.771466,7.65554,99.576829,5722.506233,9.523887,369.637634,2381.044631,6.419914,80.895408,751.664613,0.419561,14.525129,17.036464,0,0,194.195899,0.775169,4.60066,1086.484849,8.3937,46.776137,4558.181265,23127.057642,4729.492179,1994.607051,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,14,248.745725,195.418552,148.278484,34.20228,345.171325,80.350543,1550.17422,41.493135,41.306612,179.827392,48.903884,29.78586,0.002631,12.712917,53.32931,0,0,0,68.344755,35.863003,143.708975,41.858319,20.218645,0.002743,0.059703,22.696685,2.351484,0.31244,10.5312,1.188994,3.910095,0,13.292976,25.967386,1.934766,1.069001,1.400595,0.711728,0.001563,0,0.039513,2.315571,10.953798,4.698776,14.519632,4.463033,2.964527,0,0.597614,2.457143,0,0,0,0,0,0,0,0,0,0,0,0,0,2466.036186,2181.128245,8642.7669,3253.795725,1321.058187,52.031637,551.318349,2770.77903,17459.79242,46759.450917,29631.205953,22118.539093,69391.922403,28028.951961,94384.208379,110922.158019,246394.147182,95860.687426,102375.160544,97836.233609,21748.278775,23282.521763,22212.687363,15666.617395,16942.561692,16060.162902,9008.916965,9624.478053,9195.720121,4075.157055,4372.786097,4165.877586,21422.881354,22828.223481,21847.867611,34528.156415,77939.270087,50672.677898,21405.802075,25312.143949,56908.961652,15357.985186,18518.081796,42855.297004,8868.965741,10430.029181,23191.765267,4006.3839,4757.075899,10753.933885,21107.709016,24689.956417,54416.823469,5900.392224,15746.825702,524.568502,442.681919,1961.227816,583.632942,307.470786,2.213287,100.182453,601.99027,1828.336411,1581.54602,6304.397295,2467.852334,956.546469,33.0364,396.527492,2040.362546,690.795875,2509.389257,3027.848741,40065.158683,7594.234947,17118.997567,16627.149273,20550.251108,233.903944,63.853082,159.379954,18.053267,717.15359,233.040241,266.943736,88.790454,91.370325,141.58524,4.107063,0,18.191777,376.114255,147.18314,674.686969,580.32115,11.760954,402.840515,416.531362,7.950613,228.30276,1984.813799,9.951112,625.590961,668.305105,6.023296,186.596153,175.579821,0.404712,50.652322,0.567923,0,0,12.361283,0.773464,16.934651,362.439596,9.028333,92.212079,2027.863389,11.760954,122.400909,1384.476932,7.950613,80.36085,5163.287952,9.951112,295.234032,2019.948836,6.023296,65.389668,654.831436,0.404712,12.254258,13.803203,0,0,136.367051,0.773464,3.843585,943.977853,9.028333,37.60429,5108.87647,16342.416373,5847.699542,2644.168231,NA,NA,NA,NA,NA,NA,NA,NA
