sampn,sample_id,hhsize,hhveh,sectr,own,rooms,incom,project,pktno,hhidu,resty,hhcrd,hhtaz,X1,wght2015,numWorkers
14416,4000130,1,0,3,2,1,1,4,30100001,1,3,0101000020F70700006C8545EB9AF10A4103068FF91E4A2341,1,1,12.9990130524296,1
14418,4000150,1,0,3,2,3,1,4,30100002,1,3,0101000020F7070000639ADC5B8AF00A41B2C96901E34B2341,9,2,5,0
14425,4000220,2,0,3,2,2,2,4,30100002,1,3,0101000020F707000051B2BC95A4050B41CDDCB084F14A2341,13,3,159.817106826075,1
14426,4000230,7,1,3,2,4,3,4,30100002,1,3,0101000020F70700003EBF46D09EED0A4108E6EAB2A2482341,5,4,137.391131548988,3
14432,4000290,2,1,3,4,3,98,4,30100002,1,3,0101000020F7070000B0BB1BAF6B000B417AA2391360472341,3,5,159.817106826075,1
14452,4000490,2,1,3,2,2,97,4,30100004,1,3,0101000020F7070000AA3922B0D9EF0A41DAA7D50BAD4A2341,1,6,159.240732052644,1
14509,4001060,1,0,2,1,3,1,4,30300101,1,3,0101000020F7070000A8A45BF4A7FA0A415A9A7E43164F2341,106,7,75.0845972445187,1
14514,4001110,1,0,2,4,3,1,4,30300101,1,3,0101000020F70700006FED764E3FF90A412FCE37CAA64F2341,106,8,75.0845972445187,0
14515,4001120,1,0,2,1,5,2,4,30300101,1,3,0101000020F707000017E029DDBEEB0A41D1CDCD37384E2341,108,9,75.0845972445187,0
14516,4001130,3,1,2,1,2,2,4,30300101,1,3,0101000020F707000095FECF2973E90A412B3741F2BB4D2341,108,10,51.5384456393694,2
14523,4001200,4,0,2,1,3,1,4,30300102,1,1,0101000020F70700006CE4278DCE080B41DD4C11AACE4D2341,104,11,56.9759092135945,0
14526,4001230,9,1,2,1,5,98,4,30300102,1,3,0101000020F70700008564DBD651080B418F3013D2D34C2341,104,12,117.490876599545,2
14539,4001360,8,0,2,4,3,2,4,30300103,1,3,0101000020F707000093D0520EDCED0A417FE1FC3C2F4F2341,109,13,64.5183957325489,0
14544,4001410,8,0,2,1,3,97,4,30300103,1,3,0101000020F70700007D625CCD0DFF0A41C58E3E8F79522341,102,14,64.5183957325489,0
14548,4001450,5,2,2,1,5,3,4,30300103,1,2,0101000020F70700002DDB668ED2FC0A413520BEAC35502341,101,15,9.05419925123348,2
14549,4001460,7,0,2,1,4,3,4,30300103,1,1,0101000020F707000009116C3116000B41CF41B2E53A542341,113,16,35.4293329693139,0
14750,4003470,1,0,99,2,1,2,4,30100801,1,2,0101000020F7070000F4B3687A0BE40A41E80D215EFD4A2341,802,17,177.944140503474,1
14752,4003490,2,1,3,2,2,4,4,30100801,3,2,0101000020F7070000B54AA526C1DC0A4157EAB77EE94A2341,801,18,168.009157968324,2
14753,4003500,2,1,3,2,2,3,4,30100801,2,2,0101000020F70700005D2583F44CEA0A4196D30AD07B4B2341,802,19,5.04949826832561,2
14755,4003520,5,1,2,1,8,5,4,30100801,1,2,0101000020F70700007176A500BEDD0A41182D1F190F472341,805,20,5,1
14756,4003530,1,0,3,2,2,2,4,30100801,1,2,0101000020F7070000A8F25D076FD30A41A8E800172E4E2341,808,21,177.944140503474,1
14759,4003560,1,0,3,4,2,1,4,30100801,1,2,0101000020F7070000D78AB17078E20A41B2D9C5CC7A4B2341,802,22,92.1574942519531,0
14760,4003570,1,0,3,2,1,5,4,30100801,1,2,0101000020F7070000E0124E3AB9D80A41ACA730A5274C2341,808,23,177.944140503474,1
14761,4003580,2,0,99,2,1,3,4,30100801,2,2,0101000020F707000044ACF23B9DDF0A41FF93F44A6D4D2341,810,24,167.701376161355,2
14764,4003610,3,1,3,2,2,3,4,30100802,1,2,0101000020F70700002AF1088596D90A4131D1385E174B2341,808,25,158.628865673012,1
14765,4003620,2,0,3,1,4,1,4,30100802,1,2,0101000020F7070000F3F7E08053D70A41FF4E5785D04C2341,808,26,5.04949826832561,0
14768,4003650,2,0,3,2,4,3,4,30100802,1,2,0101000020F70700008F4EA72A24E80A41FB3C9D36474B2341,802,27,48.5655062495691,2
14769,4003660,2,0,3,2,2,1,4,30100802,1,2,0101000020F7070000139F81141CE90A413866E74FA94B2341,802,28,76.6780241995996,1
14771,4003680,2,0,3,99,1,3,4,30100802,1,2,0101000020F707000002317251FAD90A416A8A4BF79D4C2341,808,29,48.5655062495691,1
14776,4003730,1,1,3,2,2,3,4,30100802,1,2,0101000020F70700001D7B37C05FD80A41EDBADDF04F4D2341,808,30,177.944140503474,1
14778,4003750,9,0,2,2,2,3,4,30100803,1,2,0101000020F7070000EDC009A77CE60A41A19862DAE84A2341,803,31,112.377094550634,2
14780,4003770,2,0,3,2,2,2,4,30100803,3,2,0101000020F707000058D3A00995DA0A414EF518552A4B2341,801,32,6.97015187189602,2
14784,4003810,2,1,3,3,3,3,4,30100803,1,2,0101000020F7070000CCD7E66E3AE20A417C924966D9482341,806,33,5.04949826832561,0
14785,4003820,2,0,3,2,3,1,4,30100803,1,2,0101000020F707000001BEA7DF5AE00A4175F582508B4C2341,810,34,168.009157968324,2
14786,4003830,1,0,3,99,2,1,4,30100803,2,2,0101000020F707000000811A132CD80A41E3660608E7492341,806,35,92.1574942519531,0
14793,4003900,2,0,3,1,3,2,4,30100804,1,2,0101000020F70700000580F11492E70A41DEFA92B1A5482341,804,36,5.04949826832561,0
14795,4003920,2,0,3,1,3,4,4,30100804,1,2,0101000020F7070000EB83831E58DC0A41D22F042AE1492341,807,37,48.5655062495691,1
14797,4003940,3,0,99,2,1,4,4,30100804,2,2,0101000020F70700006B4D22DC42DC0A4120A94827214D2341,809,38,158.628865673012,3
14798,4003950,5,1,2,1,4,3,4,30100804,1,2,0101000020F70700000BB0ADA63BDC0A41FC4B08DD1F4A2341,807,39,141.410202963189,1
14799,4003960,1,1,3,2,2,2,4,30100804,1,2,0101000020F70700002EFF2E04AFE70A415A2F5AAAC54A2341,802,40,92.1574942519531,1
14800,4003970,2,0,3,1,2,2,4,30100804,3,2,0101000020F70700008EA6FD81D1D60A41290C6A48FA4A2341,807,41,5.04949826832561,0
14807,4004040,1,1,3,4,2,4,4,30100804,1,2,0101000020F707000024A3C0CBE1D70A41FC23DFB52D4C2341,808,42,92.1574942519531,0
14808,4004050,2,0,3,2,3,4,4,30100805,1,2,0101000020F70700001C88253A5CDF0A4138733EEF9C4D2341,809,43,167.701376161355,2
14809,4004060,6,0,2,1,3,4,4,30100805,1,2,0101000020F7070000F21802E1C5DF0A417CE3465F744D2341,810,44,133.514984313357,2
14810,4004070,2,0,3,2,3,1,4,30100805,1,2,0101000020F7070000F4BBA66674DA0A41C173D8B9C04A2341,807,45,76.6780241995996,1
14811,4004080,1,0,3,98,3,98,4,30100805,1,2,0101000020F7070000F279132CCFDD0A41155E8C65424A2341,807,46,92.1574942519531,1
14817,4004140,1,0,3,99,3,3,4,30100805,1,2,0101000020F707000076F3ED8AC9DC0A41DBBAED753B4B2341,801,47,92.1574942519531,1
14818,4004150,2,0,2,4,5,1,4,30100805,1,2,0101000020F7070000E36C1C2A28E60A41774C68D9E94A2341,803,48,5.04949826832561,0
14820,4004170,2,1,3,2,3,3,4,30100805,4,2,0101000020F70700008BAC01B1FEDB0A41CA0E2438E6492341,807,49,48.5655062495691,2
14821,4004180,1,1,3,2,2,2,4,30100805,3,2,0101000020F70700004BDBC372B6E70A4111ABBCF1B44A2341,802,50,92.1574942519531,1
14824,4004210,5,3,3,1,4,3,4,30100806,1,2,0101000020F7070000FDC86D83F2D90A4135267D597C4C2341,808,51,141.410202963189,3
14829,4004260,1,0,99,1,2,1,4,30100806,2,2,0101000020F70700008FBA85B43FDC0A412284CC644F4A2341,807,52,92.1574942519531,1
14839,4004360,4,0,2,1,3,4,4,30300901,1,3,0101000020F7070000D386321582EC0A413E5475BB35522341,908,53,150.363621902495,3
14841,4004380,9,0,2,1,3,3,4,30300901,1,3,0101000020F7070000D4FBF51B5BF40A41E279860ABB532341,907,54,46.4276464179376,1
14845,4004420,3,0,2,1,3,3,4,30300901,1,3,0101000020F7070000D82EE49623DD0A41597A1246A64F2341,901,55,40.4088135422588,2
14848,4004450,7,0,2,2,3,3,4,30300901,1,3,0101000020F7070000C1C6810B7DDF0A412B3C35FF3E512341,901,56,56.5127953320329,1
